DeviceID,DeviceName,DeviceType,LocationID,Manufacturer,InstallationDate
56,Device_56,Heater,5,Golla PLC,2023-03-12
57,Device_57,HVAC,3,"Borra, Mani and Kant",2020-10-29
58,Device_58,Washer,5,Mallick PLC,2023-05-21
59,Device_59,HVAC,1,Chaudhry-Sule,2021-09-25
60,Device_60,Heater,6,Savant-Vaidya,2020-10-19
61,Device_61,Refrigerator,6,Tripathi-Bala,2024-09-14
62,Device_62,AC,1,Ratta and Sons,2020-06-12
63,Device_63,Heater,6,Upadhyay-Johal,2023-01-20
64,Device_64,Refrigerator,5,"De, Rege and Saini",2024-04-08
65,Device_65,Heater,3,"Kara, Dasgupta and Badami",2022-06-14
66,Device_66,Lighting,6,"Choudhury, Suresh and Yohannan",2023-07-26
67,Device_67,AC,3,"Rout, Shankar and Thaman",2023-09-22
68,Device_68,HVAC,1,Gulati-Barad,2024-02-13
69,Device_69,HVAC,3,"Garde, Jaggi and Bassi",2024-08-18
70,Device_70,AC,4,Varughese Group,2021-12-11
71,Device_71,Lighting,2,"Mahal, Kadakia and Bajwa",2022-01-24
72,Device_72,Refrigerator,4,Deshpande Ltd,2020-05-02
73,Device_73,HVAC,1,Dubey and Sons,2023-05-04
74,Device_74,Lighting,6,"Sangha, Kaul and Chowdhury",2021-01-03
75,Device_75,HVAC,6,Saha Ltd,2021-08-27
76,Device_76,Washer,3,"Bail, Hari and Hayer",2024-02-23
77,Device_77,Refrigerator,5,"Basu, Shukla and Chacko",2020-05-01
78,Device_78,Washer,2,Kulkarni-Bava,2020-08-27
79,Device_79,AC,5,Dey-Raval,2021-06-18
80,Device_80,Refrigerator,1,Ramesh-Luthra,2023-05-02
81,Device_81,Lighting,6,Cherian-Kala,2024-11-11
82,Device_82,Refrigerator,3,Wali-Iyengar,2021-06-24
83,Device_83,Refrigerator,6,"Shere, Sehgal and Seth",2023-03-22
84,Device_84,Lighting,5,Setty Group,2024-01-16
85,Device_85,AC,5,"Sane, Kala and Sankar",2023-10-25
86,Device_86,Refrigerator,2,Atwal-Sarkar,2025-03-03
87,Device_87,AC,2,Raval-Ram,2022-09-22
88,Device_88,AC,3,Sant-Samra,2020-08-01
89,Device_89,AC,2,Sahota-Singh,2022-04-04
90,Device_90,HVAC,5,"Shan, Karpe and Sahni",2023-07-03
91,Device_91,Heater,5,Sridhar LLC,2023-05-18
92,Device_92,AC,1,"Dugar, Sawhney and Basu",2023-02-17
93,Device_93,Lighting,5,"Cheema, Savant and Deol",2021-07-24
94,Device_94,Heater,3,"Jayaraman, Mane and Bhat",2022-12-21
95,Device_95,AC,4,"Jayaraman, Roy and Aurora",2024-08-09
96,Device_96,Lighting,1,Chad-Sarkar,2023-01-29
97,Device_97,Lighting,1,"Halder, Chokshi and Soman",2023-04-10
98,Device_98,Washer,3,Kamdar and Sons,2021-08-28
99,Device_99,Washer,3,"Sekhon, Saini and Devan",2020-08-24
100,Device_100,Refrigerator,2,"Sankaran, Verma and Trivedi",2023-12-29
